gender,race_ethnicity,parental_level_of_education,lunch,test_preparation_course,math_score,reading_score,writing_score
male,group D,some high school,standard,completed,78,81,86
female,group C,some college,standard,none,55,69,65
male,group D,associate's degree,standard,none,61,48,46
male,group B,some college,free/reduced,none,41,39,34
male,group C,some college,standard,none,76,78,75
female,group C,some college,standard,none,84,87,91
male,group A,associate's degree,standard,none,63,61,61
female,group B,master's degree,standard,none,77,90,84
male,group E,high school,free/reduced,completed,57,56,54
male,group D,some college,standard,completed,63,55,63
female,group D,some college,free/reduced,completed,52,59,65
male,group D,associate's degree,standard,none,81,71,73
male,group A,some college,standard,completed,78,72,70
male,group D,some high school,standard,none,81,78,78
female,group B,high school,standard,none,66,72,70
male,group D,associate's degree,free/reduced,none,52,57,50
male,group D,high school,free/reduced,none,66,74,69
male,group B,high school,free/reduced,none,36,29,27
female,group B,associate's degree,standard,completed,52,66,73
female,group B,high school,free/reduced,completed,46,54,58
female,group D,some college,standard,completed,74,75,79
female,group C,some college,standard,none,59,71,70
female,group D,associate's degree,standard,none,71,71,74
male,group D,some high school,standard,none,55,47,44
male,group A,some high school,standard,none,71,62,50
male,group C,master's degree,free/reduced,completed,79,77,75
female,group D,associate's degree,free/reduced,none,52,59,56
male,group C,some college,standard,none,91,74,76
male,group E,associate's degree,standard,none,72,64,63
female,group C,high school,standard,none,65,69,67
female,group D,master's degree,standard,none,74,79,82
male,group E,high school,standard,none,94,73,71
female,group C,some college,free/reduced,none,35,44,43
male,group E,some college,standard,completed,85,75,68
female,group E,associate's degree,standard,none,59,62,69
female,group C,some high school,free/reduced,completed,65,76,75
male,group D,high school,standard,none,57,50,54
male,group B,some college,free/reduced,none,60,60,60
female,group D,associate's degree,free/reduced,none,47,53,58
female,group E,high school,free/reduced,completed,66,74,78
male,group B,associate's degree,free/reduced,completed,58,57,53
male,group D,some high school,standard,none,84,84,80
female,group C,some high school,standard,completed,44,51,55
female,group A,some college,standard,none,56,58,64
male,group A,high school,free/reduced,completed,72,67,65
male,group B,some college,standard,none,79,67,67
male,group D,high school,free/reduced,none,44,51,48
female,group E,associate's degree,free/reduced,completed,83,86,88
female,group B,some high school,standard,none,70,64,72
female,group C,associate's degree,standard,completed,62,76,80
male,group D,some high school,standard,completed,76,70,69
female,group C,associate's degree,standard,none,63,67,70
female,group E,some high school,free/reduced,none,38,49,45
female,group D,high school,standard,completed,88,99,100
male,group E,bachelor's degree,standard,completed,70,64,70
female,group C,high school,free/reduced,none,53,72,64
male,group E,associate's degree,standard,none,89,76,74
female,group B,high school,standard,none,81,91,89
female,group A,high school,standard,none,55,73,73
female,group A,some high school,standard,completed,59,85,80
male,group D,some college,free/reduced,none,77,62,64
male,group E,associate's degree,free/reduced,completed,91,73,80
female,group C,some college,standard,completed,64,82,77
male,group C,associate's degree,standard,none,74,73,67
female,group B,associate's degree,standard,none,82,80,77
female,group D,some college,standard,none,77,68,77
female,group D,some high school,standard,none,81,97,96
male,group C,high school,standard,completed,86,81,80
male,group C,bachelor's degree,free/reduced,none,37,56,47
male,group A,bachelor's degree,standard,completed,75,58,62
female,group E,some high school,free/reduced,none,72,79,77
female,group E,some high school,free/reduced,none,32,34,38
female,group B,associate's degree,standard,none,71,83,78
male,group E,some high school,standard,completed,89,84,77
male,group D,high school,free/reduced,completed,73,68,66
male,group E,associate's degree,free/reduced,none,90,90,82
male,group C,associate's degree,free/reduced,none,64,66,59
female,group B,associate's degree,free/reduced,completed,68,77,80
female,group D,master's degree,standard,none,64,63,66
female,group D,associate's degree,free/reduced,completed,57,74,76
female,group C,bachelor's degree,standard,none,77,88,87
female,group B,master's degree,free/reduced,completed,77,97,94
female,group D,bachelor's degree,standard,completed,68,75,81
male,group B,high school,standard,none,79,60,65
female,group A,high school,standard,completed,68,80,76
female,group C,some college,standard,none,54,64,65
