iter	RMSE
0	14.7538546
1	14.51503282
2	14.28302914
3	14.05834505
4	13.8830358
5	13.69905972
6	13.47745931
7	13.29974895
8	13.12106346
9	12.95819984
10	12.79029309
11	12.6430192
12	12.48565888
13	12.30605455
14	12.12438999
15	11.94212331
16	11.78336305
17	11.62961599
18	11.48055544
19	11.3347987
20	11.18341863
21	11.02881718
22	10.89302847
23	10.7824676
24	10.66914524
25	10.55850118
26	10.44364093
27	10.29887837
28	10.15740685
29	10.05039764
30	9.914007068
31	9.797151861
32	9.68624911
33	9.576457678
34	9.492293561
35	9.397306051
36	9.309468832
37	9.197120658
38	9.097447421
39	9.009756382
40	8.926155943
41	8.845746307
42	8.74203784
43	8.658334206
44	8.563279124
45	8.483596243
46	8.405223002
47	8.305581897
48	8.220901254
49	8.144548435
50	8.058365289
51	7.990772263
52	7.935954279
53	7.858705681
54	7.787618506
55	7.719565826
56	7.637406187
57	7.560720025
58	7.509821854
59	7.426855812
60	7.360372288
61	7.304314858
62	7.239432311
63	7.180172158
64	7.117420605
65	7.071766514
66	7.000809394
67	6.961448566
68	6.913211083
69	6.868012365
70	6.814541229
71	6.75042379
72	6.706009103
73	6.652744357
74	6.603742588
75	6.559617367
76	6.50383432
77	6.450739169
78	6.415610691
79	6.365115857
80	6.322161581
81	6.277670929
82	6.234400798
83	6.182267527
84	6.134979932
85	6.098395055
86	6.057617971
87	6.026302165
88	5.993375757
89	5.95998706
90	5.92816636
91	5.899133731
92	5.858704217
93	5.828063236
94	5.798277846
95	5.76178992
96	5.749793568
97	5.720160317
98	5.684786627
99	5.653922147
100	5.63093941
101	5.595937008
102	5.561034042
103	5.525286329
104	5.498933071
105	5.481277994
106	5.44799394
107	5.422279958
108	5.3928463
109	5.367653798
110	5.349844681
111	5.329666016
112	5.300407069
113	5.271659714
114	5.244767232
115	5.222333231
116	5.201165187
117	5.179977297
118	5.160955365
119	5.14194765
120	5.130674923
121	5.106057015
122	5.093090979
123	5.066325439
124	5.036713274
125	5.019106655
126	4.997572266
