iter	Passed	Remaining
0	2	2451
1	4	2126
2	5	1979
3	7	1921
4	9	1927
5	11	1941
6	13	1885
7	15	1908
8	17	1886
9	18	1878
10	21	1888
11	22	1884
12	24	1860
13	26	1844
14	28	1849
15	29	1842
16	31	1831
17	33	1824
18	35	1822
19	37	1829
20	39	1826
21	41	1834
22	42	1824
23	44	1808
24	46	1809
25	48	1799
26	49	1770
27	50	1759
28	52	1742
29	53	1739
30	55	1727
31	56	1717
32	58	1707
33	60	1711
34	61	1704
35	63	1698
36	64	1688
37	66	1683
38	68	1679
39	69	1671
40	71	1666
41	73	1666
42	74	1661
43	76	1664
44	78	1668
45	80	1663
46	81	1661
47	83	1652
48	85	1653
49	86	1650
50	88	1649
51	90	1644
52	91	1641
53	93	1639
54	95	1633
55	96	1632
56	98	1629
57	99	1623
58	101	1615
59	102	1613
60	104	1615
61	106	1614
62	108	1607
63	110	1613
64	112	1611
65	113	1606
66	115	1603
67	117	1604
68	118	1599
69	120	1595
70	122	1599
71	123	1598
72	125	1595
73	127	1590
74	128	1590
75	130	1590
76	132	1587
77	134	1586
78	135	1585
79	137	1583
80	139	1579
81	141	1583
82	143	1581
83	144	1580
84	146	1575
85	148	1576
86	150	1576
87	151	1574
88	154	1578
89	155	1576
90	157	1572
91	158	1567
92	160	1569
93	162	1566
94	164	1562
95	165	1560
96	167	1560
97	169	1561
98	171	1557
99	172	1555
100	174	1554
101	176	1550
102	177	1546
103	179	1544
104	180	1541
105	182	1538
106	183	1533
107	185	1533
108	187	1533
109	189	1529
110	190	1525
111	192	1526
112	194	1523
113	195	1519
114	196	1515
115	198	1515
116	200	1512
117	201	1508
118	203	1503
119	205	1504
120	206	1501
121	208	1498
122	210	1497
123	212	1497
124	213	1495
125	215	1492
126	216	1491
127	218	1489
128	220	1486
129	221	1481
130	223	1480
131	224	1478
132	226	1474
133	227	1470
134	228	1467
135	231	1471
136	233	1470
137	234	1466
138	236	1467
139	239	1468
140	241	1469
141	243	1471
142	245	1469
143	246	1467
144	249	1472
145	252	1474
146	253	1472
147	255	1471
148	257	1470
149	259	1468
150	260	1465
151	262	1465
152	264	1465
153	266	1464
154	267	1458
155	269	1458
156	272	1460
157	273	1459
158	275	1458
159	277	1459
160	279	1457
161	281	1456
162	283	1457
163	285	1454
164	287	1455
165	289	1456
166	291	1455
167	292	1446
168	294	1446
169	295	1443
170	297	1441
171	299	1440
172	300	1437
173	302	1435
174	303	1432
175	305	1428
176	306	1427
177	308	1425
178	310	1422
179	311	1418
180	313	1416
181	314	1415
182	316	1412
183	317	1409
184	319	1407
185	321	1405
186	322	1402
187	323	1398
188	325	1397
189	327	1395
190	328	1393
191	330	1391
192	332	1389
193	333	1386
194	335	1383
195	336	1381
196	338	1379
197	340	1377
198	341	1375
199	344	1376
200	345	1374
201	347	1372
202	348	1370
203	351	1369
204	352	1367
205	354	1364
206	355	1361
207	357	1361
208	359	1359
209	360	1357
210	362	1354
211	365	1357
212	366	1355
213	368	1353
214	370	1353
215	372	1352
216	374	1351
217	379	1361
218	381	1359
219	383	1358
220	384	1356
221	386	1353
222	388	1352
223	390	1351
224	391	1348
225	392	1345
226	394	1343
227	396	1341
228	397	1338
229	398	1335
230	400	1333
231	402	1332
232	403	1329
233	405	1326
234	406	1323
235	408	1322
236	409	1319
237	411	1317
238	412	1314
239	414	1313
240	416	1311
241	418	1309
242	420	1308
243	423	1311
244	425	1309
245	428	1313
246	430	1311
247	431	1308
248	433	1308
249	435	1306
250	436	1303
251	438	1301
252	440	1300
253	442	1298
254	443	1296
255	445	1295
256	447	1293
257	449	1291
258	450	1288
259	452	1287
260	454	1285
261	456	1284
262	457	1283
263	460	1282
264	461	1280
265	463	1279
266	466	1279
267	467	1278
268	469	1275
269	470	1273
270	472	1271
271	474	1269
272	475	1266
273	479	1269
274	480	1267
275	482	1264
276	484	1263
277	485	1261
278	487	1258
279	488	1255
280	490	1254
281	491	1251
282	493	1249
283	494	1246
284	496	1245
285	498	1244
286	500	1242
287	501	1239
288	503	1238
289	504	1236
290	506	1234
291	507	1231
292	509	1230
293	511	1229
294	513	1226
295	515	1225
296	517	1223
297	518	1221
298	520	1219
299	522	1218
300	523	1216
301	525	1214
302	526	1211
303	528	1210
304	530	1208
305	531	1205
306	533	1204
307	535	1202
308	536	1200
309	538	1198
310	540	1196
311	541	1195
312	543	1193
313	545	1191
314	547	1189
315	549	1188
316	550	1186
317	552	1184
318	553	1182
319	555	1180
320	557	1178
321	558	1176
322	560	1174
323	561	1172
324	563	1170
325	565	1168
326	567	1167
327	568	1164
328	569	1162
329	571	1160
330	573	1158
331	574	1156
332	576	1154
333	578	1153
334	580	1151
335	581	1149
336	582	1146
337	584	1145
338	586	1143
339	588	1141
340	589	1139
341	592	1139
342	594	1138
343	595	1136
344	597	1134
345	599	1132
346	600	1130
347	602	1128
348	605	1128
349	607	1127
350	608	1125
351	610	1124
352	613	1125
353	617	1127
354	620	1126
355	621	1124
356	623	1122
357	625	1120
358	626	1118
359	627	1116
360	629	1114
361	631	1112
362	632	1110
363	634	1108
364	636	1106
365	637	1105
366	639	1102
367	641	1101
368	643	1100
369	644	1097
370	646	1095
371	647	1093
372	649	1092
373	651	1089
374	652	1087
375	654	1086
376	656	1084
377	657	1082
378	659	1079
379	661	1078
380	662	1076
381	664	1075
382	666	1073
383	668	1071
384	669	1069
385	671	1067
386	673	1066
387	674	1064
388	676	1062
389	678	1060
390	680	1059
391	682	1057
392	683	1055
393	684	1053
394	687	1053
395	689	1051
396	690	1048
397	693	1048
398	695	1047
399	697	1045
